gene_base,sample,distal_fpkm,total_fpkm,DUI,genotype,age,condition,replicate
PB.1012_0,DD_1,0.27,12.31,0.0219333874898457,DD,2-year,Infected,1
PB.1012_0,DD_2,6.03,14.81,0.407157326130993,DD,2-year,Infected,2
PB.1012_0,DD_3,1.07,13.43,0.0796723752792256,DD,2-year,Infected,3
PB.1012_0,DD_C_1,0.57,11.98,0.0475792988313857,DD,2-year,Control,1
PB.1012_0,DD_C_2,0.99,16.58,0.0597104945717732,DD,2-year,Control,2
PB.1012_0,DD_C_3,0.41,8.78,0.0466970387243736,DD,2-year,Control,3
PB.1012_0,SD_1,0.14,12.43,0.0112630732099759,GD,2-year,Infected,1
PB.1012_0,SD_2,0.3,18.41,0.0162954915806627,GD,2-year,Infected,2
PB.1012_0,SD_3,0.43,17.06,0.0252051582649472,GD,2-year,Infected,3
PB.1012_0,SD_C_1,0.17,9.04,0.0188053097345133,GD,2-year,Control,1
PB.1012_0,SD_C_2,0.17,10.52,0.0161596958174905,GD,2-year,Control,2
PB.1012_0,SD_C_3,0,11.93,0,GD,2-year,Control,3
PB.1012_0,SS_1,0,8.22,0,GG,2-year,Infected,1
PB.1012_0,SS_2,0,8.55,0,GG,2-year,Infected,2
PB.1012_0,SS_3,0,8.66,0,GG,2-year,Infected,3
PB.1012_0,SS_C_1,0,4.35,0,GG,2-year,Control,1
PB.1012_0,SS_C_2,0.03,9.85,0.00304568527918782,GG,2-year,Control,2
PB.1012_0,SS_C_3,0.01,8.3,0.00120481927710843,GG,2-year,Control,3
PB.1012_0,dd_1,0.14,5.84,0.023972602739726,DD,1-year,Infected,1
PB.1012_0,dd_2,1.34,8.49,0.157832744405183,DD,1-year,Infected,2
PB.1012_0,dd_3,0.79,5.75,0.137391304347826,DD,1-year,Infected,3
PB.1012_0,dd_c_1,0.46,9.34,0.0492505353319058,DD,1-year,Control,1
PB.1012_0,dd_c_2,0.34,8.45,0.0402366863905325,DD,1-year,Control,2
PB.1012_0,dd_c_3,0.17,4.68,0.0363247863247863,DD,1-year,Control,3
PB.1012_0,sd_1,0.29,9.5,0.0305263157894737,GD,1-year,Infected,1
PB.1012_0,sd_2,0.27,9.66,0.0279503105590062,GD,1-year,Infected,2
PB.1012_0,sd_3,0.23,8.28,0.0277777777777778,GD,1-year,Infected,3
PB.1012_0,sd_c_1,0.37,10.37,0.0356798457087753,GD,1-year,Control,1
PB.1012_0,sd_c_2,0.23,8.8,0.0261363636363636,GD,1-year,Control,2
PB.1012_0,sd_c_3,0.23,5.69,0.0404217926186292,GD,1-year,Control,3
PB.1012_0,ss_1,0,9.92,0,GG,1-year,Infected,1
PB.1012_0,ss_2,0,8,0,GG,1-year,Infected,2
PB.1012_0,ss_3,0,8.71,0,GG,1-year,Infected,3
PB.1012_0,ss_c_1,0,4.05,0,GG,1-year,Control,1
PB.1012_0,ss_c_2,0,4.76,0,GG,1-year,Control,2
PB.1012_0,ss_c_3,0,8.71,0,GG,1-year,Control,3
PB.1016_0,DD_1,0.5,1.12,0.446428571428571,DD,2-year,Infected,1
PB.1016_0,DD_2,0.48,1.93,0.248704663212435,DD,2-year,Infected,2
PB.1016_0,DD_3,0.29,1.57,0.184713375796178,DD,2-year,Infected,3
PB.1016_0,DD_C_1,0.81,2.84,0.285211267605634,DD,2-year,Control,1
PB.1016_0,DD_C_2,2.41,7.21,0.334257975034674,DD,2-year,Control,2
PB.1016_0,DD_C_3,0.33,1.18,0.279661016949153,DD,2-year,Control,3
PB.1016_0,SD_1,0.59,3.2,0.184375,GD,2-year,Infected,1
PB.1016_0,SD_2,0.12,1.85,0.0648648648648649,GD,2-year,Infected,2
PB.1016_0,SD_3,0.42,1.02,0.411764705882353,GD,2-year,Infected,3
PB.1016_0,SD_C_1,0.61,6.76,0.0902366863905326,GD,2-year,Control,1
PB.1016_0,SD_C_2,1.02,5.74,0.177700348432056,GD,2-year,Control,2
PB.1016_0,SD_C_3,0.64,3.65,0.175342465753425,GD,2-year,Control,3
PB.1016_0,SS_1,0.38,5.2,0.0730769230769231,GG,2-year,Infected,1
PB.1016_0,SS_2,0.46,6.98,0.0659025787965616,GG,2-year,Infected,2
PB.1016_0,SS_3,0.61,5.96,0.102348993288591,GG,2-year,Infected,3
PB.1016_0,SS_C_1,0.52,9.07,0.0573318632855568,GG,2-year,Control,1
PB.1016_0,SS_C_2,0.23,7.71,0.0298313878080415,GG,2-year,Control,2
PB.1016_0,SS_C_3,0.66,6.35,0.103937007874016,GG,2-year,Control,3
PB.1016_0,dd_1,4.14,4.49,0.922048997772828,DD,1-year,Infected,1
PB.1016_0,dd_2,5.79,6.43,0.900466562986003,DD,1-year,Infected,2
PB.1016_0,dd_3,1.98,2.13,0.929577464788732,DD,1-year,Infected,3
PB.1016_0,dd_c_1,0.42,3.33,0.126126126126126,DD,1-year,Control,1
PB.1016_0,dd_c_2,4.08,6.85,0.595620437956205,DD,1-year,Control,2
PB.1016_0,dd_c_3,3.54,6.66,0.531531531531532,DD,1-year,Control,3
PB.1016_0,sd_1,0.65,2.54,0.255905511811024,GD,1-year,Infected,1
PB.1016_0,sd_2,0.54,1.82,0.296703296703297,GD,1-year,Infected,2
PB.1016_0,sd_3,0.26,1.36,0.191176470588235,GD,1-year,Infected,3
PB.1016_0,sd_c_1,0.76,2.86,0.265734265734266,GD,1-year,Control,1
PB.1016_0,sd_c_2,0.96,4.25,0.225882352941176,GD,1-year,Control,2
