age_class,genotype,tissue,AUC_proportion_h,time_points_h,recorded_proportions,recorded_value_count
1龄,GG,Foot muscle,54,"[0, 24, 48, 96, 168]","['0.000', '0.200', '0.200', '0.400', '0.500']",5
1龄,GG,Digestive gland,120,"[0, 24, 48, 96, 168]","['0.200', '1.000', '0.600', '0.600', '1.000']",5
1龄,GG,Gill,26.4,"[0, 24, 48, 96, 168]","['0.000', '0.000', '0.200', '0.200', '0.200']",5
1龄,GG,Mantle,129.6,"[0, 24, 48, 96, 168]","['0.200', '0.600', '0.800', '0.800', '1.000']",5
1龄,DD,Foot muscle,38.40000000000001,"[0, 24, 48, 96, 168]","['0.000', '0.400', '0.200', '0.000', '0.600']",5
1龄,DD,Digestive gland,115.2,"[0, 24, 48, 96, 168]","['0.400', '0.800', '0.400', '0.800', '0.800']",5
1龄,DD,Gill,0,"[0, 24, 48, 96, 168]","['0.000', '0.000', '0.000', '0.000', '0.000']",5
1龄,DD,Mantle,151.2,"[0, 24, 48, 96, 168]","['0.000', '0.800', '1.000', '1.000', '1.000']",5
1龄,GD,Foot muscle,76.8,"[0, 24, 48, 96, 168]","['0.000', '0.200', '0.400', '0.600', '0.600']",5
1龄,GD,Digestive gland,105.6,"[0, 24, 48, 96, 168]","['0.200', '0.800', '0.400', '0.800', '0.600']",5
1龄,GD,Gill,0,"[0, 24, 48, 96, 168]","['0.000', '0.000', '0.000', '0.000', '0.000']",5
1龄,GD,Mantle,148.8,"[0, 24, 48, 96, 168]","['0.000', '1.000', '0.800', '1.000', '1.000']",5
2龄,GG,Foot muscle,76.80000000000001,"[0, 24, 48, 96, 168]","['0.200', '0.600', '0.200', '0.400', '0.800']",5
2龄,GG,Digestive gland,103.2,"[0, 24, 48, 96, 168]","['0.000', '0.400', '0.600', '0.600', '1.000']",5
2龄,GG,Gill,7.2,"[0, 24, 48, 96, 168]","['0.000', '0.000', '0.000', '0.000', '0.200']",5
2龄,GG,Mantle,62.40000000000001,"[0, 24, 48, 96, 168]","['0.000', '0.400', '0.400', '0.400', '0.400']",5
2龄,DD,Foot muscle,86.4,"[0, 24, 48, 96, 168]","['0.000', '0.000', '0.600', '0.600', '0.800']",5
2龄,DD,Digestive gland,79.20000000000002,"[0, 24, 48, 96, 168]","['0.200', '0.400', '0.400', '0.400', '0.800']",5
2龄,DD,Gill,19.2,"[0, 24, 48, 96, 168]","['0.000', '0.000', '0.200', '0.200', '0.000']",5
2龄,DD,Mantle,86.4,"[0, 24, 48, 96, 168]","['0.200', '0.400', '0.600', '0.400', '0.800']",5
2龄,GD,Foot muscle,45.60000000000001,"[0, 24, 48, 96, 168]","['0.000', '0.000', '0.200', '0.400', '0.400']",5
2龄,GD,Digestive gland,33.6,"[0, 24, 48, 96, 168]","['0.000', '0.000', '0.200', '0.200', '0.400']",5
2龄,GD,Gill,0,"[0, 24, 48, 96, 168]","['0.000', '0.000', '0.000', '0.000', '0.000']",5
2龄,GD,Mantle,31.2,"[0, 24, 48, 96, 168]","['0.000', '0.200', '0.200', '0.200', '0.200']",5
