age,sample,n_genes,median,q25,q75
1-year,dd_1,5614,0.42472181563926603,0.09689984101748812,0.8235058355777862
1-year,dd_2,5640,0.42389879073381553,0.100203293045824,0.8230241720957798
1-year,dd_3,5614,0.43916161068252446,0.0987423457215446,0.8365459424964817
1-year,dd_c_1,5636,0.40943219582734347,0.08790251210201948,0.8167655450387212
1-year,dd_c_2,5672,0.4212256820536435,0.11471055668175625,0.7814819961798433
1-year,dd_c_3,5652,0.415118748001738,0.1065777472620765,0.7798619574055635
1-year,sd_1,5652,0.452759414431485,0.210596361185984,0.6765448603683898
1-year,sd_2,5649,0.45,0.204273058884836,0.67283950617284
1-year,sd_3,5652,0.44565658608855596,0.20930166307085424,0.6672233965697163
1-year,sd_c_1,5659,0.454242928452579,0.2097449121762995,0.672074917839252
1-year,sd_c_2,5640,0.454192722588065,0.20342878845738802,0.664668791574279
1-year,sd_c_3,5622,0.45816665338539597,0.2156908222286305,0.6722670011743352
1-year,ss_1,5601,0.439906651108518,0.0848842487517022,0.867256637168142
1-year,ss_2,5605,0.440860215053763,0.0813559322033898,0.869565217391304
1-year,ss_3,5609,0.442857142857143,0.0875,0.853658536585366
1-year,ss_c_1,5593,0.427350427350427,0.0717250586963282,0.869047619047619
1-year,ss_c_2,5593,0.432432432432432,0.075,0.88
1-year,ss_c_3,5606,0.442673704512003,0.07790262728833315,0.8647027436400562
2-year,DD_1,5671,0.420218625540208,0.11854558826613901,0.779327505808999
2-year,DD_2,5663,0.416666666666667,0.106904761904762,0.7882558878090096
2-year,DD_3,5637,0.429924242424243,0.111111111111111,0.80327868852459
2-year,DD_C_1,5639,0.417596848325673,0.0986119329564331,0.8026779422128261
2-year,DD_C_2,5667,0.416666666666667,0.11543310446487451,0.7838158823907044
2-year,DD_C_3,5635,0.433333333333333,0.10210613209674951,0.80819986683075
2-year,SD_1,5672,0.458583156029988,0.21582437509629826,0.6930602621772533
2-year,SD_2,5664,0.461275015593758,0.2169430379746835,0.6875
2-year,SD_3,5659,0.455072463768116,0.2120777980376835,0.6776587646802961
2-year,SD_C_1,5670,0.449781716638043,0.202286737330377,0.6934556385372662
2-year,SD_C_2,5661,0.453287197231834,0.21206915064963,0.691304347826087
2-year,SD_C_3,5640,0.459181041597887,0.2047633178798785,0.691403189628342
2-year,SS_1,5654,0.45484889829441355,0.09528194901165189,0.8474120653372085
2-year,SS_2,5660,0.438173288543959,0.09651315071483138,0.8341295203716712
2-year,SS_3,5624,0.43863559303620003,0.0758043898484754,0.861252102064176
2-year,SS_C_1,5636,0.450416064919882,0.09219451986874998,0.8489643179579776
2-year,SS_C_2,5629,0.463428736629084,0.0927152317880795,0.878243512974052
2-year,SS_C_3,5666,0.4543755310110455,0.1,0.8490373507893725
