age,threshold,n_genes,n_negative,n_within,n_positive,negative_percent,positive_percent
1-year,0,5606,2903,11,2692,51.783803068141275,48.01997859436318
1-year,0.05,5606,1900,1991,1715,33.89225829468427,30.592222618622905
1-year,0.1,5606,1277,3167,1162,22.77916518016411,20.727791651801642
1-year,0.15,5606,848,4004,754,15.126650017838031,13.44987513378523
1-year,0.2,5606,566,4552,488,10.096325365679629,8.704958972529433
2-year,0,5655,2744,15,2896,48.52343059239611,51.21131741821397
2-year,0.05,5655,1555,2421,1679,27.497789566755085,29.69053934571176
2-year,0.1,5655,866,3807,982,15.313881520778072,17.365163572060123
2-year,0.15,5655,483,4627,545,8.541114058355438,9.637488947833775
2-year,0.2,5655,259,5065,331,4.580017683465959,5.853227232537577
