Genotype,Age,Time,Observation_within_time,Source_sheet,Source_row,THC_recorded,THC_converted,MOR_converted,MOR_ratio_stored,PHA_recorded,PHA_converted,PHA_ratio_stored,ROS_recorded,MOR_ratio_same_animal,PHA_ratio_same_animal
GG,1-year,0,1,1龄,4,838.41,169.35882,4.565519999999999,0.0269576748350041,75.68,8.7032,0.0513891157248261,73034.0,0.0269576748350041,0.0513891157248261
GG,1-year,0,2,1龄,5,1117.61,225.75722,4.26156,0.0188767384715315,126.11,14.50265,0.0642400274064324,54317.7,0.0188767384715315,0.0642400274064324
GG,1-year,0,3,1龄,6,1236.85,249.8437,3.54756,0.0141991172881285,109.38,12.578699999999998,0.0503462764920628,54904.2,0.0141991172881285,0.0503462764920628
GG,1-year,0,4,1龄,7,1028.69,207.79538,3.2436,0.015609586700147,94.69,10.88935,0.0524041968594296,62216.1,0.015609586700147,0.0524041968594296
GG,1-year,0,5,1龄,8,1544.12,311.91224,3.03144,0.0097188875947926,73.66,8.470899999999999,0.027157959559394,62299.3,0.0097188875947926,0.027157959559394
DD,1-year,0,1,1龄,9,1197.24,241.84248,3.90456,0.0161450544172388,55.16,6.343399999999999,0.0262294696944887,297081.2,0.0161450544172388,0.0262294696944887
DD,1-year,0,2,1龄,10,1432.94,289.45388,3.9168,0.0135316894007432,47.12,5.418799999999999,0.018720771682176,274569.2,0.0135316894007432,0.018720771682176
DD,1-year,0,3,1龄,11,724.63,146.37526,4.16568,0.0284589076050146,48.13,5.53495,0.0378134255747863,283999.8,0.0284589076050146,0.0378134255747863
DD,1-year,0,4,1龄,12,546.42,110.37684,8.157960000000001,0.0739100702647403,44.24,5.0876,0.0460930028437125,321043.1,0.0739100702647403,0.0460930028437125
DD,1-year,0,5,1龄,13,928.79,187.61558,5.76708,0.0307388117767191,47.35,5.44525,0.029023442509412,260755.3,0.0307388117767191,0.029023442509412
GD,1-year,0,1,1龄,14,402.66,81.33732,5.68548,0.0699000163762464,28.61,3.29015,0.0404506811879221,121078.7,0.0699000163762464,0.0404506811879221
GD,1-year,0,2,1龄,15,567.54,114.64307999999998,4.5594,0.039770389979055,41.03,4.71845,0.0411577393070737,119037.2,0.039770389979055,0.0411577393070737
GD,1-year,0,3,1龄,16,477.68,96.49136,1.9012800000000003,0.0197041476045109,43.74,5.0301,0.0521300559967234,128281.1,0.0197041476045109,0.0521300559967234
GD,1-year,0,4,1龄,17,412.33,83.29066,4.0902,0.049107546992664,45.79,5.26585,0.0632225750162143,130607.7,0.049107546992664,0.0632225750162143
GD,1-year,0,5,1龄,18,550.91,111.28382,2.71524,0.0243992343181605,39.0,4.484999999999999,0.040302354825706,133838.9,0.0243992343181605,0.040302354825706
GG,1-year,24,1,1龄,23,470.44,95.02888,5.503920000000001,0.0579183928085862,51.09,5.87535,0.0618269940674876,167492.8,0.0579183928085862,0.0618269940674876
GG,1-year,24,2,1龄,24,468.96,94.72992,6.31788,0.0666936064128419,54.12,6.223799999999999,0.065700467180802,147102.1,0.0666936064128419,0.065700467180802
GG,1-year,24,3,1龄,25,327.9,66.2358,6.20772,0.0937215221979654,63.09,7.25535,0.1095381953565896,132245.3,0.0937215221979654,0.1095381953565896
GG,1-year,24,4,1龄,26,408.12,82.44024,6.00168,0.0728003703045988,49.01,5.636149999999999,0.068366491897646,123468.2,0.0728003703045988,0.068366491897646
GG,1-year,24,5,1龄,27,418.72,84.58144000000001,7.488840000000001,0.0885399917523276,55.42,6.3733,0.0753510462815482,118598.3,0.0885399917523276,0.0753510462815482
DD,1-year,24,1,1龄,28,2496.72,504.33744,19.46976,0.0386046294718869,62.88,7.2312,0.0143380194022478,98232.0,0.0386046294718869,0.0143380194022478
DD,1-year,24,2,1龄,29,2442.64,493.41328,17.927519999999998,0.0363336795474981,57.35,6.59525,0.0133665838908916,94064.9,0.0363336795474981,0.0133665838908916
DD,1-year,24,3,1龄,30,2557.78,516.67156,20.82024,0.0402968570594441,43.63,5.01745,0.0097111015748573,72978.6,0.0402968570594441,0.0097111015748573
DD,1-year,24,4,1龄,31,2590.95,523.3719,21.03852,0.0401980312661035,50.36,5.791399999999999,0.0110655539588579,78314.1,0.0401980312661035,0.0110655539588579
DD,1-year,24,5,1龄,32,2408.65,486.5473,20.55912,0.0422551312071817,46.21,5.31415,0.0109221652242238,81228.6,0.0422551312071817,0.0109221652242238
GD,1-year,24,1,1龄,33,613.04,123.83408,8.184479999999999,0.0660923067381774,115.3,13.2595,0.107074724502334,142802.1,0.0660923067381774,0.107074724502334
GD,1-year,24,2,1龄,34,919.66,185.77132,8.561879999999999,0.0460882767049294,75.93,8.73195,0.0470037570923218,140922.9,0.0460882767049294,0.0470037570923218
GD,1-year,24,3,1龄,35,937.78,189.43156,7.121639999999999,0.0375947914909215,80.63,9.27245,0.0489488129644289,140215.6,0.0375947914909215,0.0489488129644289
GD,1-year,24,4,1龄,36,660.81,133.48362,8.453759999999999,0.0633318155441094,97.93,11.26195,0.0843695278866425,135356.0,0.0633318155441094,0.0843695278866425
GD,1-year,24,5,1龄,37,1041.11,210.30422,6.7422,0.0320592710883309,83.58,9.6117,0.045703790442246,140449.1,0.0320592710883309,0.045703790442246
GG,1-year,48,1,1龄,42,272.23,54.990460000000006,19.75536,0.3592506772992987,98.03,11.27345,0.2050073776433221,121308.9,0.3592506772992987,0.2050073776433221
GG,1-year,48,2,1龄,43,263.48,53.22296,18.34776,0.3447339268616401,106.97,12.30155,0.2311323909831396,112587.8,0.3447339268616401,0.2311323909831396
GG,1-year,48,3,1龄,44,306.55,61.9231,19.73292,0.318668154533607,91.05,10.47075,0.169092794126909,118124.1,0.318668154533607,0.169092794126909
GG,1-year,48,4,1龄,45,298.74,60.34548,21.74232,0.3602974075274569,91.08,10.474199999999998,0.1735705805969229,111889.7,0.3602974075274569,0.1735705805969229
GG,1-year,48,5,1龄,46,329.93,66.64586000000001,20.93448,0.3141152353649573,102.38,11.773699999999998,0.1766606357844282,100446.4,0.3141152353649573,0.1766606357844282
DD,1-year,48,1,1龄,47,186.29,37.63058,5.09592,0.1354196507202387,57.59,6.62285,0.1759964900886459,141474.5,0.1354196507202387,0.1759964900886459
DD,1-year,48,2,1龄,48,193.63,39.11326,4.59816,0.1175601317813958,57.24,6.5826,0.1682958669259479,143398.7,0.1175601317813958,0.1682958669259479
DD,1-year,48,3,1龄,49,256.27,51.76654,3.77808,0.0729830504414627,57.47,6.609049999999999,0.1276703059543867,133792.8,0.0729830504414627,0.1276703059543867
DD,1-year,48,4,1龄,50,207.46,41.90692,4.90008,0.1169277054958942,57.96,6.6654,0.1590524906149151,128040.3,0.1169277054958942,0.1590524906149151
DD,1-year,48,5,1龄,51,322.66,65.17732000000001,3.52716,0.0541163705411636,51.91,5.96965,0.0915909092303887,136596.5,0.0541163705411636,0.0915909092303887
