Genotype,Age,Time,measure,unit,n,mean,sd,SEM
DD,1-year,0,MOR,percent,5,3.25569066928912,2.4297587283410667,1.086621137098814
DD,1-year,0,PHA,percent,5,3.1576022460915096,1.0606680448150638,0.4743451699536551
DD,1-year,0,ROS,fluorescence arbitrary units,5,287489.72000000003,22976.479220215617,10275.393884002697
DD,1-year,0,THC,fold of genotype-age baseline mean,5,0.9999999999999998,0.3686202034209441,0.1648519665458063
DD,1-year,24,MOR,percent,5,3.953766571042286,0.220981655642881,0.0988260007595863
DD,1-year,24,PHA,percent,5,1.188068481021568,0.1906349842753463,0.0852545567458555
DD,1-year,24,ROS,fluorescence arbitrary units,5,84963.64,10731.849799685047,4799.429135282653
DD,1-year,24,THC,fold of genotype-age baseline mean,5,2.5873060567036985,0.0789296969755043,0.0352984335761374
DD,1-year,48,MOR,percent,5,9.9401381796031,3.4215816502288643,1.5301778320955297
DD,1-year,48,PHA,percent,5,14.452121256285684,3.483050168900308,1.5576673893406423
DD,1-year,48,ROS,fluorescence arbitrary units,5,136660.56,6146.413233585919,2748.7595616204817
DD,1-year,48,THC,fold of genotype-age baseline mean,5,0.2414710498093175,0.0589336813072049,0.0263559435134437
DD,1-year,96,MOR,percent,5,4.409798106485476,0.6912397422839877,0.3091318104992864
DD,1-year,96,PHA,percent,5,4.04048626399894,0.8682306558462766,0.3882845533242999
DD,1-year,96,ROS,fluorescence arbitrary units,5,190839.6,21890.53263193933,9789.743805738746
DD,1-year,96,THC,fold of genotype-age baseline mean,5,0.6325750203932902,0.0295224005133881,0.0132028188813821
DD,1-year,168,MOR,percent,5,21.71928666704519,2.173910484139148,0.9722023239069224
DD,1-year,168,PHA,percent,5,19.181810627187776,5.792320226278774,2.5904043546812603
DD,1-year,168,ROS,fluorescence arbitrary units,5,146349.91999999998,17365.174367307685,7765.942065287377
DD,1-year,168,THC,fold of genotype-age baseline mean,5,0.2178624519153129,0.0167717823846758,0.0075005691031937
DD,2-year,0,MOR,percent,5,1.947991284127296,0.7030542973558739,0.3144154401522169
