Genotype,Age,Time,Observation_within_time,value,measure,unit
GG,1-year,0,1,0.7270694870336196,THC,fold of genotype-age baseline mean
GG,1-year,0,2,0.9691918386035993,THC,fold of genotype-age baseline mean
GG,1-year,0,3,1.072596814252612,THC,fold of genotype-age baseline mean
GG,1-year,0,4,0.8920803790706388,THC,fold of genotype-age baseline mean
GG,1-year,0,5,1.3390614810395305,THC,fold of genotype-age baseline mean
DD,1-year,0,1,1.2393737500051758,THC,fold of genotype-age baseline mean
DD,1-year,0,2,1.4833685988877892,THC,fold of genotype-age baseline mean
DD,1-year,0,3,0.750131469434909,THC,fold of genotype-age baseline mean
DD,1-year,0,4,0.5656498316777155,THC,fold of genotype-age baseline mean
DD,1-year,0,5,0.9614763499944098,THC,fold of genotype-age baseline mean
GD,1-year,0,1,0.8350061382262186,THC,fold of genotype-age baseline mean
GD,1-year,0,2,1.1769219283984207,THC,fold of genotype-age baseline mean
GD,1-year,0,3,0.990576993264541,THC,fold of genotype-age baseline mean
GD,1-year,0,4,0.8550590596901025,THC,fold of genotype-age baseline mean
GD,1-year,0,5,1.1424358804207173,THC,fold of genotype-age baseline mean
GG,1-year,24,1,0.4079657559906203,THC,fold of genotype-age baseline mean
GG,1-year,24,2,0.4066822993992036,THC,fold of genotype-age baseline mean
GG,1-year,24,3,0.2843550110307891,THC,fold of genotype-age baseline mean
GG,1-year,24,4,0.3539218270871779,THC,fold of genotype-age baseline mean
GG,1-year,24,5,0.3631141513230009,THC,fold of genotype-age baseline mean
DD,1-year,24,1,2.584585571074239,THC,fold of genotype-age baseline mean
DD,1-year,24,2,2.528602366035751,THC,fold of genotype-age baseline mean
DD,1-year,24,3,2.6477944190707285,THC,fold of genotype-age baseline mean
DD,1-year,24,4,2.6821317510072418,THC,fold of genotype-age baseline mean
DD,1-year,24,5,2.4934161763305327,THC,fold of genotype-age baseline mean
GD,1-year,24,1,1.2712764192574404,THC,fold of genotype-age baseline mean
GD,1-year,24,2,1.9071220013935437,THC,fold of genotype-age baseline mean
GD,1-year,24,3,1.9446978997312447,THC,fold of genotype-age baseline mean
GD,1-year,24,4,1.3703382660340422,THC,fold of genotype-age baseline mean
GD,1-year,24,5,2.1589759116095424,THC,fold of genotype-age baseline mean
GG,1-year,48,1,0.2360779647847262,THC,fold of genotype-age baseline mean
GG,1-year,48,2,0.2284899612881741,THC,fold of genotype-age baseline mean
GG,1-year,48,3,0.2658402824992022,THC,fold of genotype-age baseline mean
GG,1-year,48,4,0.2590674473782797,THC,fold of genotype-age baseline mean
GG,1-year,48,5,0.2861154278419892,THC,fold of genotype-age baseline mean
DD,1-year,48,1,0.1928459923561392,THC,fold of genotype-age baseline mean
DD,1-year,48,2,0.2004443045784489,THC,fold of genotype-age baseline mean
DD,1-year,48,3,0.2652887565682957,THC,fold of genotype-age baseline mean
DD,1-year,48,4,0.2147610154823375,THC,fold of genotype-age baseline mean
DD,1-year,48,5,0.3340151800613662,THC,fold of genotype-age baseline mean
GD,1-year,48,1,3.0183483194532004,THC,fold of genotype-age baseline mean
GD,1-year,48,2,2.7605428182753244,THC,fold of genotype-age baseline mean
GD,1-year,48,3,1.9340804273532632,THC,fold of genotype-age baseline mean
GD,1-year,48,4,2.1969458177112715,THC,fold of genotype-age baseline mean
GD,1-year,48,5,2.738768705000166,THC,fold of genotype-age baseline mean
GG,1-year,96,1,0.5531697909006397,THC,fold of genotype-age baseline mean
GG,1-year,96,2,0.5338485659974193,THC,fold of genotype-age baseline mean
GG,1-year,96,3,0.5539849592762693,THC,fold of genotype-age baseline mean
GG,1-year,96,4,0.5924192809868046,THC,fold of genotype-age baseline mean
GG,1-year,96,5,0.5492413730904248,THC,fold of genotype-age baseline mean
DD,1-year,96,1,0.6682995101469559,THC,fold of genotype-age baseline mean
DD,1-year,96,2,0.5906186723864496,THC,fold of genotype-age baseline mean
DD,1-year,96,3,0.6188587210819002,THC,fold of genotype-age baseline mean
DD,1-year,96,4,0.648144314102219,THC,fold of genotype-age baseline mean
DD,1-year,96,5,0.6369538842489264,THC,fold of genotype-age baseline mean
GD,1-year,96,1,2.211565579481735,THC,fold of genotype-age baseline mean
GD,1-year,96,2,3.308089186767975,THC,fold of genotype-age baseline mean
GD,1-year,96,3,3.4594296426556954,THC,fold of genotype-age baseline mean
GD,1-year,96,4,3.4369919373569133,THC,fold of genotype-age baseline mean
GD,1-year,96,5,2.870844254952056,THC,fold of genotype-age baseline mean
GG,1-year,168,1,0.2679909394902249,THC,fold of genotype-age baseline mean
GG,1-year,168,2,0.2337625397177783,THC,fold of genotype-age baseline mean
GG,1-year,168,3,0.3018811311068252,THC,fold of genotype-age baseline mean
GG,1-year,168,4,0.2777989760097681,THC,fold of genotype-age baseline mean
GG,1-year,168,5,0.221760486187232,THC,fold of genotype-age baseline mean
DD,1-year,168,1,0.2299369360789396,THC,fold of genotype-age baseline mean
DD,1-year,168,2,0.2121419787081626,THC,fold of genotype-age baseline mean
DD,1-year,168,3,0.1917590403352367,THC,fold of genotype-age baseline mean
DD,1-year,168,4,0.2336636287220342,THC,fold of genotype-age baseline mean
DD,1-year,168,5,0.2218106757321915,THC,fold of genotype-age baseline mean
GD,1-year,168,1,5.16564915889711,THC,fold of genotype-age baseline mean
GD,1-year,168,2,4.372926274926176,THC,fold of genotype-age baseline mean
GD,1-year,168,3,4.689335246690335,THC,fold of genotype-age baseline mean
GD,1-year,168,4,4.20391768140947,THC,fold of genotype-age baseline mean
GD,1-year,168,5,,THC,fold of genotype-age baseline mean
GG,2-year,0,1,1.0501835580495442,THC,fold of genotype-age baseline mean
GG,2-year,0,2,1.017198231669,THC,fold of genotype-age baseline mean
GG,2-year,0,3,0.8083830354878895,THC,fold of genotype-age baseline mean
GG,2-year,0,4,1.0818128700100322,THC,fold of genotype-age baseline mean
GG,2-year,0,5,1.0424223047835337,THC,fold of genotype-age baseline mean
DD,2-year,0,1,1.0544350307105863,THC,fold of genotype-age baseline mean
DD,2-year,0,2,0.9497499269887724,THC,fold of genotype-age baseline mean
DD,2-year,0,3,0.803872729580174,THC,fold of genotype-age baseline mean
DD,2-year,0,4,1.132721415148721,THC,fold of genotype-age baseline mean
DD,2-year,0,5,1.059220897571746,THC,fold of genotype-age baseline mean
GD,2-year,0,1,1.0808039131266742,THC,fold of genotype-age baseline mean
GD,2-year,0,2,0.9657541618828932,THC,fold of genotype-age baseline mean
GD,2-year,0,3,0.8964592103584641,THC,fold of genotype-age baseline mean
GD,2-year,0,4,0.7887645107794362,THC,fold of genotype-age baseline mean
GD,2-year,0,5,1.268218203852532,THC,fold of genotype-age baseline mean
GG,2-year,24,1,0.2386144398998974,THC,fold of genotype-age baseline mean
GG,2-year,24,2,0.3011895443571058,THC,fold of genotype-age baseline mean
GG,2-year,24,3,0.3096894396242848,THC,fold of genotype-age baseline mean
GG,2-year,24,4,0.3277145093542946,THC,fold of genotype-age baseline mean
GG,2-year,24,5,0.3395327813729921,THC,fold of genotype-age baseline mean
DD,2-year,24,1,0.5859705294575457,THC,fold of genotype-age baseline mean
DD,2-year,24,2,0.5217130039494869,THC,fold of genotype-age baseline mean
DD,2-year,24,3,0.5244958402713112,THC,fold of genotype-age baseline mean
DD,2-year,24,4,0.4596114120753689,THC,fold of genotype-age baseline mean
DD,2-year,24,5,0.5312159312792332,THC,fold of genotype-age baseline mean
GD,2-year,24,1,0.8555978122209466,THC,fold of genotype-age baseline mean
GD,2-year,24,2,0.9711359070034442,THC,fold of genotype-age baseline mean
GD,2-year,24,3,1.005329920908279,THC,fold of genotype-age baseline mean
GD,2-year,24,4,0.8343199866054343,THC,fold of genotype-age baseline mean
GD,2-year,24,5,1.0459321979844367,THC,fold of genotype-age baseline mean
GG,2-year,48,1,0.7740416946872898,THC,fold of genotype-age baseline mean
GG,2-year,48,2,1.0664006085528128,THC,fold of genotype-age baseline mean
GG,2-year,48,3,0.9375571896325532,THC,fold of genotype-age baseline mean
GG,2-year,48,4,0.6745565391866118,THC,fold of genotype-age baseline mean
GG,2-year,48,5,1.0157760702040637,THC,fold of genotype-age baseline mean
DD,2-year,48,1,0.2017250527133418,THC,fold of genotype-age baseline mean
DD,2-year,48,2,0.1793400396630627,THC,fold of genotype-age baseline mean
DD,2-year,48,3,0.1450668110071879,THC,fold of genotype-age baseline mean
DD,2-year,48,4,0.1716872397780458,THC,fold of genotype-age baseline mean
DD,2-year,48,5,0.2141178485311364,THC,fold of genotype-age baseline mean
GD,2-year,48,1,1.6997145681847174,THC,fold of genotype-age baseline mean
GD,2-year,48,2,1.323959130628907,THC,fold of genotype-age baseline mean
GD,2-year,48,3,1.6364989954075773,THC,fold of genotype-age baseline mean
GD,2-year,48,4,1.4196644980227069,THC,fold of genotype-age baseline mean
