age,genotype,tank,s0,s24,s48,s72,s96,AUC_proportion_h
1,GG,Tank 1,100,40.0,20.0,9.999999999999998,0.0,28.8
1,GG,Tank 2,100,9.999999999999998,0.0,0.0,0.0,14.4
1,GG,Tank 3,100,20.0,9.999999999999998,0.0,0.0,19.2
1,DD,Tank 1,100,70.0,20.0,0.0,0.0,33.599999999999994
1,DD,Tank 2,100,60.0,0.0,0.0,0.0,26.4
1,DD,Tank 3,100,80.0,9.999999999999998,0.0,0.0,33.60000000000001
1,GD,Tank 1,100,60.0,20.0,0.0,0.0,31.200000000000003
1,GD,Tank 2,100,70.0,40.0,20.0,9.999999999999998,44.400000000000006
1,GD,Tank 3,100,80.0,50.0,30.0,20.0,52.8
2,GG,Tank 1,100,100.0,60.0,9.999999999999998,9.999999999999998,54.0
2,GG,Tank 2,100,100.0,70.0,9.999999999999998,9.999999999999998,56.4
2,GG,Tank 3,100,100.0,80.0,0.0,0.0,55.2
2,DD,Tank 1,100,100.0,80.0,0.0,0.0,55.2
2,DD,Tank 2,100,90.0,80.0,20.0,20.0,60.0
2,DD,Tank 3,100,90.0,80.0,0.0,0.0,52.8
2,GD,Tank 1,100,100.0,100.0,40.0,40.0,74.4
2,GD,Tank 2,100,100.0,100.0,40.0,40.0,74.4
2,GD,Tank 3,100,100.0,100.0,70.0,60.0,84.0
