sample,genotype,condition,replicate,isoform_fraction
DD_1,DD,24 h,1,0.7525773195876289
DD_2,DD,24 h,2,0.8378378378378378
DD_3,DD,24 h,3,0.6666666666666666
DD_C_1,DD,0 h,1,0.5641025641025641
DD_C_2,DD,0 h,2,0.4748201438848921
DD_C_3,DD,0 h,3,0.3707865168539326
SD_1,GD,24 h,1,0.5366795366795367
SD_2,GD,24 h,2,0.08490566037735849
SD_3,GD,24 h,3,0.1039426523297491
SD_C_1,GD,0 h,1,0.6842105263157895
SD_C_2,GD,0 h,2,0.8276923076923077
SD_C_3,GD,0 h,3,0.8198529411764706
SS_1,GG,24 h,1,0.6311475409836066
SS_2,GG,24 h,2,0.5596330275229358
SS_3,GG,24 h,3,0.8442622950819673
SS_C_1,GG,0 h,1,0.6111111111111112
SS_C_2,GG,0 h,2,0.5701754385964912
SS_C_3,GG,0 h,3,0.2754491017964072
