mode,count,age,percent
Additive,16564,1-year,54.017740673102
High-Parent Dominance,7615,1-year,24.8336811896687
Low-Parent Dominance,4076,1-year,13.2924602139316
True Over-dominance (High),1441,1-year,4.6993216801461
True Over-dominance (Low),968,1-year,3.15679624315158
Additive,15895,2-year,51.9444444444444
High-Parent Dominance,8448,2-year,27.6078431372549
Low-Parent Dominance,3863,2-year,12.6241830065359
True Over-dominance (High),1734,2-year,5.66666666666667
True Over-dominance (Low),660,2-year,2.15686274509804
