module,module_size,od_overlap,expected,fold_enrichment,p_value,p_adj
mediumpurple3,86,0,5.7,0,1,1
turquoise,1163,137,76.5,1.79,3.19400222783413e-12,6.54770456705997e-11
floralwhite,76,10,5,2,0.0266186198332185,0.155732841530245
blue,883,106,58.1,1.82,4.72540718020862e-10,7.74966777554214e-09
darkgreen,164,0,10.8,0,1,1
darkslateblue,69,0,4.5,0,1,1
green,507,55,33.4,1.65,0.000156938010332736,0.0018384166924692
greenyellow,243,0,16,0,1,1
red,485,101,31.9,3.17,2.10392715274042e-26,1.72522026524714e-24
lightgreen,182,0,12,0,1,1
purple,255,0,16.8,0,1,1
darkorange,148,0,9.7,0,1,1
lightcyan,189,17,12.4,1.37,0.117234172268706,0.53406678477966
grey60,187,4,12.3,0.33,0.99867211655955,1
orange,150,13,9.9,1.32,0.188066138268296,0.771071166900013
lightcyan1,80,0,5.3,0,1,1
magenta,266,3,17.5,0.17,0.999997739222741,1
tan,215,53,14.1,3.75,1.46864734421965e-17,4.01430274086703e-16
yellow,522,22,34.3,0.64,0.992800245254016,1
cyan,195,21,12.8,1.64,0.0175578627857337,0.119978729035847
saddlebrown,114,0,7.5,0,1,1
plum3,34,1,2.2,0.45,0.901453696743748,1
antiquewhite4,45,5,3,1.69,0.171788741418511,0.74140404191147
blue2,36,6,2.4,2.53,0.0284877149140693,0.155732841530245
black,316,17,20.8,0.82,0.838229529111196,1
white,140,19,9.2,2.06,0.00202714169935079,0.0166225619346765
steelblue,112,0,7.4,0,1,1
firebrick4,37,2,2.4,0.82,0.709789541124771,1
lightyellow,178,1,11.7,0.09,0.99999501086883,1
brown4,70,0,4.6,0,1,1
skyblue3,89,12,5.9,2.05,0.0133923756034396,0.099834072680186
violet,108,1,7.1,0.14,0.999379186651741,1
midnightblue,194,0,12.8,0,1,1
orangered3,42,1,2.8,0.36,0.942928977753977,1
darkgrey,151,4,9.9,0.4,0.991207263671858,1
darkturquoise,154,22,10.1,2.17,0.000461428190766432,0.00472963895535593
salmon,199,2,13.1,0.15,0.999982183344149,1
skyblue1,42,0,2.8,0,1,1
plum2,66,0,4.3,0,1,1
lightcoral,40,1,2.6,0.38,0.934575958981783,1
ivory,76,2,5,0.4,0.964373762078954,1
thistle,32,0,2.1,0,1,1
brown,750,6,49.3,0.12,1,1
pink,308,0,20.3,0,1,1
yellow4,43,2,2.8,0.71,0.784668199752593,1
darkolivegreen,95,2,6.3,0.32,0.988257435320335,1
royalblue,173,0,11.4,0,1,1
darkseagreen4,52,2,3.4,0.58,0.865164376082735,1
plum,42,1,2.8,0.36,0.942928977753977,1
brown2,36,0,2.4,0,1,1
paleturquoise,111,23,7.3,3.15,6.89017233983941e-07,9.4165688644472e-06
yellowgreen,90,1,5.9,0.17,0.997864124890432,1
lightsteelblue1,82,0,5.4,0,1,1
darkmagenta,95,2,6.3,0.32,0.988257435320335,1
maroon,56,2,3.7,0.54,0.891193322634519,1
thistle2,60,4,3.9,1.01,0.563062041873078,1
orangered4,87,1,5.7,0.17,0.99737620893418,1
lightsteelblue,41,0,2.7,0,1,1
coral1,48,0,3.2,0,1,1
darkorange2,75,9,4.9,1.82,0.0568100850887908,0.274025116310638
palevioletred3,57,8,3.8,2.13,0.0320070448703411,0.164036104960498
plum1,87,11,5.7,1.92,0.0269568685733194,0.155732841530245
lavenderblush3,55,0,3.6,0,1,1
bisque4,70,0,4.6,0,1,1
lightpink4,55,1,3.6,0.28,0.976526835763188,1
salmon4,58,2,3.8,0.52,0.902382821685422,1
darkviolet,35,0,2.3,0,1,1
navajowhite2,57,11,3.8,2.93,0.00105573825888488,0.00961894858095114
darkred,165,5,10.9,0.46,0.986280737183441,1
thistle1,60,2,3.9,0.51,0.912490869988691,1
salmon2,32,1,2.1,0.47,0.887041057808005,1
skyblue,114,41,7.5,5.47,2.19454775703103e-20,8.99764580382722e-19
sienna3,90,0,5.9,0,1,1
coral2,44,1,2.9,0.35,0.950216712763449,1
darkolivegreen4,36,0,2.4,0,1,1
mediumorchid,44,2,2.9,0.69,0.795353377871917,1
skyblue2,44,2,2.9,0.69,0.795353377871917,1
indianred4,40,0,2.6,0,1,1
thistle3,33,2,2.2,0.92,0.648582767828887,1
mediumpurple2,41,0,2.7,0,1,1
honeydew1,54,0,3.6,0,1,1
palevioletred2,31,0,2,0,1,1
