sample,genotype,age,condition,PC1,PC2
dd_1,DD,1,24 h,-164.67023713600517,43.805703303487796
DD_1,DD,2,24 h,-120.17056617948585,52.48204574408321
dd_2,DD,1,24 h,-187.4453522649015,5.053229173864388
DD_2,DD,2,24 h,-145.14467130987637,3.9633870435853495
dd_3,DD,1,24 h,-132.18076464064245,91.00728155332173
DD_3,DD,2,24 h,-142.33049109957634,5.806989111076157
dd_c_1,DD,1,0 h,-127.71243719968139,44.32986271543586
DD_C_1,DD,2,0 h,-155.91338602225423,-47.134480564954394
dd_c_2,DD,1,0 h,-164.57834542053683,-24.75929083907502
DD_C_2,DD,2,0 h,-197.7141129902332,-130.36454952484954
dd_c_3,DD,1,0 h,-152.8025154476315,-30.296360793499424
DD_C_3,DD,2,0 h,-132.1224876710423,16.70122194987657
sd_1,GD,1,24 h,7.931716799200957,71.24923642391154
SD_1,GD,2,24 h,21.035786064785583,-4.1730938141130975
sd_2,GD,1,24 h,7.2945146663305875,101.87689453780548
SD_2,GD,2,24 h,6.841194345617209,11.06618749640417
sd_3,GD,1,24 h,7.302383269347517,86.6096209099429
SD_3,GD,2,24 h,-4.625775888222645,6.90002630375938
sd_c_1,GD,1,0 h,5.91074558500189,-98.10279940900274
SD_C_1,GD,2,0 h,34.25069357190759,-86.30154781454566
sd_c_2,GD,1,0 h,3.789471695321446,-82.86276670980409
SD_C_2,GD,2,0 h,14.09665833905235,-76.97108751298927
sd_c_3,GD,1,0 h,13.017342103348593,-12.34178455328436
SD_C_3,GD,2,0 h,11.94945288970147,15.517461129556755
ss_1,GG,1,24 h,132.37856625098516,96.11151513907215
SS_1,GG,2,24 h,132.06714521661132,61.58413787915617
ss_2,GG,1,24 h,130.2515941028233,109.03358823319684
SS_2,GG,2,24 h,150.65043106193596,-34.591400785286055
ss_3,GG,1,24 h,126.99378853370203,95.8064960225144
SS_3,GG,2,24 h,130.80474804858954,39.03634020190422
ss_c_1,GG,1,0 h,154.0513451617877,-49.19087622737223
SS_C_1,GG,2,0 h,161.06953048854697,-102.36172107398383
ss_c_2,GG,1,0 h,145.93671507299632,-21.502645658907376
SS_C_2,GG,2,0 h,135.87671190089915,-36.71152122225271
ss_c_3,GG,1,0 h,143.28398242670366,-19.113862934211294
SS_C_3,GG,2,0 h,150.62662567489394,-101.16143543382428
