Figure 4F: GO enrichment of one-year-specific OD-high genes,,,,,,,,
,,,,,,,,
GO_ID,Description,Category,target_count,bg_count,fold_enrichment,gene_ratio,pvalue,padj
GO:0004483,mRNA (nucleoside-2'-O-)-methyltransferase activity,molecular_function,12,31,6.19354838709677,0.0089686098654708,1.56827437984028e-07,3.98341692479431e-05
GO:0004482,mRNA (guanine-N7-)-methyltransferase activity,molecular_function,12,33,5.81818181818182,0.0089686098654708,3.5077110463958e-07,4.13004261981789e-05
GO:0016714,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced pteridine as one donor, and incorporation of one atom of oxygen",molecular_function,8,14,9.14285714285714,0.0059790732436472,4.8780030942731e-07,4.13004261981789e-05
GO:0017111,nucleoside-triphosphatase activity,molecular_function,12,40,4.8,0.0089686098654708,3.66994595912366e-06,0.0002330415684043
GO:0016817,"hydrolase activity, acting on acid anhydrides",molecular_function,15,72,3.33333333333333,0.0112107623318386,3.16371293561208e-05,0.0016071661712909
GO:0070008,serine-type exopeptidase activity,molecular_function,12,56,3.42857142857143,0.0089686098654708,0.0001447609738957,0.0061282145615877
GO:0003968,RNA-directed RNA polymerase activity,molecular_function,12,58,3.31034482758621,0.0089686098654708,0.0002059315695055,0.0072890087128206
GO:0016597,amino acid binding,molecular_function,8,28,4.57142857142857,0.0059790732436472,0.0002295750775691,0.0072890087128206
GO:0016836,hydro-lyase activity,molecular_function,4,12,5.33333333333333,0.0029895366218236,0.0050118847890949,0.141446526270012
GO:0006030,chitin metabolic process,biological_process,15,118,2.03389830508475,0.0112107623318386,0.0067608068637793,0.168601600094441
GO:0008061,chitin binding,molecular_function,15,119,2.01680672268908,0.0112107623318386,0.0073016440985781,0.168601600094441
GO:0005230,extracellular ligand-gated ion channel activity,molecular_function,5,21,3.80952380952381,0.0037369207772795,0.0083011681570315,0.175708059323833
GO:0004553,"hydrolase activity, hydrolyzing O-glycosyl compounds",molecular_function,39,427,1.46135831381733,0.0291479820627803,0.0114418912698983,0.223556952504166
GO:0016805,dipeptidase activity,molecular_function,3,9,5.33333333333333,0.0022421524663677,0.0153894524128972,0.260594727525059
GO:0042710,biofilm formation,biological_process,3,9,5.33333333333333,0.0022421524663677,0.0153894524128972,0.260594727525059
GO:0001510,RNA methylation,biological_process,4,18,3.55555555555556,0.0029895366218236,0.0229668124965543,0.343151198477928
GO:0009452,RNA capping,biological_process,4,18,3.55555555555556,0.0029895366218236,0.0229668124965543,0.343151198477928
GO:0009288,bacterial-type flagellum,cellular_component,8,57,2.24561403508772,0.0059790732436472,0.024631285282837,0.347574803435589
GO:0004061,arylformamidase activity,molecular_function,3,11,4.36363636363636,0.0022421524663677,0.027525806989635,0.349295724245998
GO:0016810,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds",molecular_function,5,28,2.85714285714286,0.0037369207772795,0.0279494200231607,0.349295724245998
GO:0005085,guanyl-nucleotide exchange factor activity,molecular_function,6,39,2.46153846153846,0.0044843049327354,0.0327335480617111,0.349295724245998
GO:0004609,phosphatidylserine decarboxylase activity,molecular_function,4,20,3.2,0.0029895366218236,0.0329442016563879,0.349295724245998
GO:0006094,gluconeogenesis,biological_process,4,20,3.2,0.0029895366218236,0.0329442016563879,0.349295724245998
GO:0006915,apoptosis,biological_process,3,12,4,0.0022421524663677,0.0350304477231484,0.349295724245998
GO:0019441,tryptophan catabolic process to kynurenine,biological_process,3,12,4,0.0022421524663677,0.0350304477231484,0.349295724245998
GO:0004252,serine-type endopeptidase activity,molecular_function,17,169,1.6094674556213,0.0127055306427504,0.0357546804346297,0.349295724245998
GO:0030261,chromosome condensation,biological_process,5,31,2.58064516129032,0.0037369207772795,0.0414625897110444,0.390055473577973
GO:0008121,ubiquinol-cytochrome-c reductase activity,molecular_function,3,14,3.42857142857143,0.0022421524663677,0.0528303360224087,0.477981134060388
GO:0051087,chaperone binding,molecular_function,6,44,2.18181818181818,0.0044843049327354,0.054572649164375,0.477981134060388
GO:0005975,carbohydrate metabolic process,biological_process,50,646,1.23839009287926,0.0373692077727952,0.0693154222997393,0.586870575471126
GO:0003993,acid phosphatase activity,molecular_function,20,226,1.41592920353982,0.0149476831091181,0.0739799488319269,0.588461204668839
GO:0019050,suppression by virus of host apoptosis,biological_process,3,16,3,0.0022421524663677,0.0741368446826884,0.588461204668839
GO:0000902,cell morphogenesis,biological_process,6,48,2,0.0044843049327354,0.0771436498697958,0.592959070965494
GO:0016702,"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen",molecular_function,7,60,1.86666666666667,0.0052316890881913,0.0793724740662472,0.592959070965494
GO:0003785,actin monomer binding,molecular_function,3,17,2.82352941176471,0.0022421524663677,0.0860009473620131,0.601148218243828
GO:0030127,COPII vesicle coat,cellular_component,5,38,2.10526315789474,0.0037369207772795,0.0860329885219961,0.601148218243828
GO:0004222,metalloendopeptidase activity,molecular_function,25,300,1.33333333333333,0.0186846038863976,0.0875688349410301,0.601148218243828
GO:0008757,S-adenosylmethionine-dependent methyltransferase activity,molecular_function,4,28,2.28571428571429,0.0029895366218236,0.0942935209547401,0.630277745329052
GO:0007160,cell-matrix adhesion,biological_process,8,78,1.64102564102564,0.0059790732436472,0.113387584231818,0.72805730203242
GO:0042128,nitrate assimilation,biological_process,4,30,2.13333333333333,0.0029895366218236,0.114654693233452,0.72805730203242
GO:0008233,peptidase activity,molecular_function,8,79,1.62025316455696,0.0059790732436472,0.119676206729027,0.741408695345681
GO:0009877,nodulation,biological_process,3,21,2.28571428571429,0.0022421524663677,0.140355759375945,0.829078206546277
GO:0019058,viral infectious cycle,biological_process,3,21,2.28571428571429,0.0022421524663677,0.140355759375945,0.829078206546277
GO:0004064,arylesterase activity,molecular_function,7,70,1.6,0.0052316890881913,0.146396683477268,0.845108127346049
GO:0009312,oligosaccharide biosynthetic process,biological_process,3,22,2.18181818181818,0.0022421524663677,0.155398452483874,0.877137931797867
GO:0006506,GPI anchor biosynthetic process,biological_process,4,34,1.88235294117647,0.0029895366218236,0.160409323341008,0.885738437578608
GO:0006888,ER to Golgi vesicle-mediated transport,biological_process,5,47,1.70212765957447,0.0037369207772795,0.168359419723274,0.885954524763097
GO:0008654,phospholipid biosynthetic process,biological_process,5,47,1.70212765957447,0.0037369207772795,0.168359419723274,0.885954524763097
GO:0016226,iron-sulfur cluster assembly,biological_process,3,23,2.08695652173913,0.0022421524663677,0.170912487060597,0.885954524763097
GO:0008176,tRNA (guanine-N7-)-methyltransferase activity,molecular_function,4,36,1.77777777777778,0.0029895366218236,0.185424896271101,0.938125593193064
GO:0042025,host cell nucleus,cellular_component,4,37,1.72972972972973,0.0029895366218236,0.198379023659324,0.938125593193064
GO:0005044,scavenger receptor activity,molecular_function,8,90,1.42222222222222,0.0059790732436472,0.200030568062204,0.938125593193064
GO:0008948,oxaloacetate decarboxylase activity,molecular_function,3,25,1.92,0.0022421524663677,0.203137431596923,0.938125593193064
GO:0015081,sodium ion transmembrane transporter activity,molecular_function,3,25,1.92,0.0022421524663677,0.203137431596923,0.938125593193064
GO:0071436,sodium ion export,biological_process,3,25,1.92,0.0022421524663677,0.203137431596923,0.938125593193064
GO:0015035,protein disulfide oxidoreductase activity,molecular_function,8,93,1.37634408602151,0.0059790732436472,0.225046118628351,0.976308041922326
GO:0006480,N-terminal protein amino acid methylation,biological_process,4,39,1.64102564102564,0.0029895366218236,0.225050497147471,0.976308041922326
GO:0018024,histone-lysine N-methyltransferase activity,molecular_function,3,27,1.77777777777778,0.0022421524663677,0.236608539389672,0.976308041922326
GO:0006400,tRNA modification,biological_process,4,40,1.6,0.0029895366218236,0.238716079116048,0.976308041922326
GO:0042470,melanosome,cellular_component,4,40,1.6,0.0029895366218236,0.238716079116048,0.976308041922326
GO:0009116,nucleoside metabolic process,biological_process,4,41,1.5609756097561,0.0029895366218236,0.252567368194866,0.976308041922326
GO:0015743,malate transport,biological_process,4,41,1.5609756097561,0.0029895366218236,0.252567368194866,0.976308041922326
GO:0003896,DNA primase activity,molecular_function,3,28,1.71428571428571,0.0022421524663677,0.253686341601864,0.976308041922326
GO:0005787,signal peptidase complex,cellular_component,3,28,1.71428571428571,0.0022421524663677,0.253686341601864,0.976308041922326
GO:0006323,DNA packaging,biological_process,3,28,1.71428571428571,0.0022421524663677,0.253686341601864,0.976308041922326
GO:0006465,signal peptide processing,biological_process,3,28,1.71428571428571,0.0022421524663677,0.253686341601864,0.976308041922326
GO:0007156,homophilic cell adhesion,biological_process,9,112,1.28571428571429,0.0067264573991031,0.266215524827495,1
GO:0030246,carbohydrate binding,molecular_function,9,113,1.27433628318584,0.0067264573991031,0.274646270332877,1
GO:0006891,intra-Golgi vesicle-mediated transport,biological_process,6,71,1.35211267605634,0.0044843049327354,0.283057728054356,1
GO:0016575,histone deacetylation,biological_process,3,30,1.6,0.0022421524663677,0.288293288223273,1
GO:0070823,HDA1 complex,cellular_component,3,30,1.6,0.0022421524663677,0.288293288223273,1
GO:0003779,actin binding,molecular_function,9,115,1.25217391304348,0.0067264573991031,0.291730988566091,1
GO:0016829,lyase activity,molecular_function,6,73,1.31506849315068,0.0044843049327354,0.305098393726538,1
GO:0006811,ion transport,biological_process,9,119,1.21008403361345,0.0067264573991031,0.326650307404823,1
GO:0008236,serine-type peptidase activity,molecular_function,7,90,1.24444444444444,0.0052316890881913,0.331544511506508,1
GO:0016746,"transferase activity, transferring acyl groups",molecular_function,5,61,1.31147540983607,0.0037369207772795,0.333248015286694,1
